filtro,15
municipio,RI
Água Azul do Norte,Região Araguaia
Bannach,Região Araguaia
Conceição do Araguaia,Região Araguaia
Cumaru do Norte,Região Araguaia
Floresta do Araguaia,Região Araguaia
Ourilândia do Norte,Região Araguaia
Pau D'Arco,Região Araguaia
Redenção,Região Araguaia
Rio Maria,Região Araguaia
Santa Maria das Barreiras,Região Araguaia
Santana do Araguaia,Região Araguaia
São Felix do Xingu,Região Araguaia
Sapucaia,Região Araguaia
Tucumã,Região Araguaia
Xinguara,Região Araguaia
Alenquer,Região Baixo Amazonas
Almerim,Região Baixo Amazonas
Belterra,Região Baixo Amazonas
Curuá,Região Baixo Amazonas
Faro,Região Baixo Amazonas
Juruti,Região Baixo Amazonas
Mojuí dos Campos,Região Baixo Amazonas
Monte Alegre,Região Baixo Amazonas
Óbidos,Região Baixo Amazonas
Oriximiná,Região Baixo Amazonas
Prainha,Região Baixo Amazonas
Santarém,Região Baixo Amazonas
Terra Santa ,Região Baixo Amazonas
Castanhal,Região Guamá
Colares,Região Guamá
Curuçá,Região Guamá
Igarapé-Açu,Região Guamá
Inhangapi,Região Guamá
Magalhães Barata,Região Guamá
Maracanã,Região Guamá
Marapanim,Região Guamá
Santo Antônio do Tauá,Região Guamá
Santa Maria do Pará,Região Guamá
Santa Izabel do Pará,Região Guamá
São Caetano de Odivelas,Região Guamá
São Domingos do Capim,Região Guamá
São Francisco do Pará,Região Guamá
São João da Ponta,Região Guamá
São Miguel do Guamá,Região Guamá
Terra Alta,Região Guamá
Vigia ,Região Guamá
Bom Jesus do Tocantins,Região Carajás
Brejo Grande do Araguaia,Região Carajás
Canaã dos Carajás,Região Carajás
Curionópolis,Região Carajás
Eldorado dos Carajás,Região Carajás
Marabá,Região Carajás
Palestina do Pará,Região Carajás
Parauapebas,Região Carajás
Piçarra,Região Carajás
São Domingos do Araguaia,Região Carajás
São Geraldo do Araguaia,Região Carajás
São João do Araguaia ,Região Carajás
Breu Branco,Região Lago Tucuruí
Goianésia do Pará,Região Lago Tucuruí
Itupiranga,Região Lago Tucuruí
Jacundá,Região Lago Tucuruí
Nova Ipixuna,Região Lago Tucuruí
Novo Repartimento,Região Lago Tucuruí
Tucuruí ,Região Lago Tucuruí
Ananindeua,Região Guajará
Belém,Região Guajará
Benevides,Região Guajará
Marituba,Região Guajará
Santa Bárbara do Pará ,Região Guajará
Afuá,Região Marajó
Anajás,Região Marajó
Bagre,Região Marajó
Breves,Região Marajó
Cachoeira do Arari,Região Marajó
Chaves,Região Marajó
Curralinho,Região Marajó
Gurupá,Região Marajó
Melgaço,Região Marajó
Muaná,Região Marajó
Ponta de Pedras,Região Marajó
Portel,Região Marajó
Salvaterra,Região Marajó
Santa Cruz do Arari,Região Marajó
São Sebastião da Boa Vista,Região Marajó
Soure ,Região Marajó
Abel Figueiredo,Região Rio Capim
Aurora do Pará,Região Rio Capim
Bujaru,Região Rio Capim
Capitão Poço,Região Rio Capim
Concórdia do Pará,Região Rio Capim
Dom Eliseu,Região Rio Capim
Garrafão do Norte,Região Rio Capim
Ipixuna do Pará,Região Rio Capim
Irituia,Região Rio Capim
Mãe do Rio,Região Rio Capim
Nova Esperança do Piriá,Região Rio Capim
Ourém,Região Rio Capim
Paragominas,Região Rio Capim
Rondon do Pará,Região Rio Capim
Tomé-Açu,Região Rio Capim
Ulianópolis,Região Rio Capim
Augusto Correa,Região Rio Caeté
Bonito,Região Rio Caeté
Bragança,Região Rio Caeté
Cachoeira do Piriá,Região Rio Caeté
Capanema,Região Rio Caeté
Nova Timboteua,Região Rio Caeté
Peixe-Boi,Região Rio Caeté
Primavera,Região Rio Caeté
Quatipuru,Região Rio Caeté
Salinópolis,Região Rio Caeté
Santa Luzia do Pará,Região Rio Caeté
Santarém Novo,Região Rio Caeté
São João de Pirabas,Região Rio Caeté
Tracuateua,Região Rio Caeté
Viseu ,Região Rio Caeté
Aveiro,Região Tapajós
Itaituba,Região Tapajós
Jacareacanga,Região Tapajós
Novo Progresso,Região Tapajós
Rurópolis,Região Tapajós
Trairão ,Região Tapajós
Altamira,Região Xingu
Anapu,Região Xingu
Brasil Novo,Região Xingu
Medicilândia,Região Xingu
Pacajá,Região Xingu
Placas,Região Xingu
Porto de Moz,Região Xingu
Senador José Porfírio,Região Xingu
Uruará,Região Xingu
Vitória do Xingu ,Região Xingu
Abaetetuba,Região Tocantins
Acará,Região Tocantins
Baião,Região Tocantins
Barcarena,Região Tocantins
Cametá,Região Tocantins
Igarapé-Miri,Região Tocantins
Limoeiro do Ajuru,Região Tocantins
Mocajuba,Região Tocantins
Moju,Região Tocantins
Oeiras do Pará,Região Tocantins
Tailândia ,Região Tocantins
